"Symbol","Expiry1 IV","Expiry2 IV","Expiry3 IV","IV30","IV90","IV60","Expiry4 IV"
"A",25.95,29.6,30.21,27.516,29.8715,29.6702,30.27
"AA",57.02,62.37,62.03,64.8831,61.9197,62.2473,61.78
"AABA",0,0,0,0,0,0,0
"AAIC",164.61,85.84,56.07,85.8384,64.5624,80.5234,57.28
"AAL",63.83,69.31,72.49,68.7701,70.7062,69.6553,72.25
"AAN",57.45,61.44,63.32,59.1585,63.4781,62.1157,0
"AAOI",81.64,68.18,80.57,70.7714,79.957,72.6043,75.94
"AAON",33.43,33.69,38.5,33.5453,37.1264,34.5519,36.8
"AAP",29.93,33.84,35.3,31.603,35.2619,34.3616,34.99
"AAPL",33.73,38.23,37.23,39.3502,36.885,37.874,36.43
"AAT",43.02,38.79,37.91,41.2074,38.1605,38.6296,48.56
"AAU",0,0,0,0,0,0,0
"AAWW",43.75,50.66,52.82,46.7087,51.612,50.8997,51.16
"AAXJ",17.56,17.89,18.79,17.7043,18.9006,18.2156,19.61
"AAXN",41.49,42.58,51.29,41.9541,51.2089,45.6915,50.68
"AB",31.29,34.33,32.7,32.5957,33.1697,34.0431,31.85
"ABB",19.96,23.29,22.67,21.3855,22.7337,23.0678,23.14
"ABBV",30.45,29.21,28.1,27.0197,28.1619,28.8152,28.44
"ABC",25.79,31.73,31.01,28.4431,31.4157,31.6525,30.85
"ABCB",39.4,43.28,45.7,41.0582,45.0088,43.7098,45.88
"ABEO",233.41,197.3,203.97,217.9436,201.2753,199.6865,183.57
"ABEV",79.62,49.72,50.02,66.8153,49.9324,49.7744,50.67
"ABG",61.72,59.39,56.56,60.7221,57.3645,58.8836,53.89
"ABIO",145.23,143.97,140.59,144.6911,139.1525,142.766,129.7
"ABM",35.54,33.53,39.97,34.6761,38.1331,34.6762,38.19
"ABMD",60.26,52.49,49.24,56.9342,48.8871,51.3286,46.58
"ABNB",53.11,66.25,71.84,56.9784,70.243,67.2481,74.94
"ABR",28.73,33.92,37.78,30.9551,36.6762,34.6109,40.36
"ABT",26.57,27.27,27.06,26.805,27.2657,27.194,28.16
"ABTX",37.91,42.64,41.94,39.9346,42.3312,42.5597,40.3
"ABUS",177.02,162.43,167.84,170.769,166.5409,164.3623,158.02
"ACA",51.05,39.97,37.52,46.3026,38.8925,39.6988,39.59
"ACAD",62.26,61.88,64.9,65.6412,65.1992,62.9594,67.17
"ACB",116.3,119.53,116.8,107.7841,116.7065,118.5547,116.07
"ACC",29.3,38.17,29.92,33.1023,30.4209,35.2219,33.73
"ACCD",79.65,79.37,81.73,79.534,81.0568,79.7947,80.53
"ACCO",60.74,56.3,55.18,58.8384,55.4104,55.9007,56.94
"ACEL",56.17,60.66,66.88,58.0933,65.1008,61.7673,65.82
"ACER",0,0,104.93,104.9343,104.9343,104.9343,138.35
"ACES",48.95,41.52,40.62,45.7697,40.3795,41.1992,38.8
"ACET",0,0,0,0,0,0,0
"ACGL",31.84,36.54,37.48,33.8547,37.4053,36.8774,36.9
"ACH",58.14,59.01,54.54,58.5129,57.0409,58.5154,52.31
"ACHC",45.32,60.25,50.39,51.7129,50.5703,56.7281,51.75
"ACI",54.95,45.38,42.43,50.8505,43.2712,44.8498,38.75
"ACIA",40.19,34.53,26.59,37.7637,31.0385,33.6586,21.51
"ACIU",117.18,81.17,106.61,101.7569,92.355,83.964,105.55
"ACIW",39.74,40.77,43.79,40.18,42.098,41.1017,42.66
"ACLS",39.84,54.64,46.65,46.1803,47.3501,51.7862,51.94
"ACM",33.78,38.05,36.8,35.6071,36.6612,37.6021,35.73
"ACMR",75.97,73.6,78.13,74.9554,75.5912,74.0987,75.53
"ACN",22.99,23.14,26.18,23.0544,25.3123,23.6834,25.98
"ACOR",247.52,156.8,178.19,156.7959,172.0823,160.6147,175.8
"ACRE",31.64,40.43,43.93,35.4029,41.9685,40.8134,42.86
"ACRS",309.29,192.95,183.36,259.4656,188.7335,191.8982,144.03
"ACRX",0,171.76,143.08,171.7634,142.7024,161.5146,140.21
"ACTG",105.04,86.9,91.18,86.9014,85.3003,86.5014,79.62
"ACWI",18.75,18.31,19.06,18.5597,18.8434,18.4412,20.26
"ACWV",12.14,14.48,13.56,13.1446,13.8205,14.3173,14.36
"ACWX",12.97,20.82,19.28,16.3325,19.0602,20.2696,17.62
"ADAP",118.64,121.8,117.35,119.9957,118.8101,120.2118,128.38
"ADBE",27.05,28.83,30.22,28.3199,31.2148,29.3281,32.53
"ADC",22.14,47.18,33.7,32.8652,37.5469,44.7747,27.09
"ADCT",181.78,76.67,88.6,76.6738,85.194,78.8023,81.72
"ADI",26.69,29.49,30.51,27.3354,30.5131,29.8563,30.5
"ADM",21.92,26.58,26.3,24.9897,26.261,26.481,26.01
"ADMA",85.93,119.09,115.75,100.1343,117.6209,118.7241,121.23
"ADMP",0,0,0,0,0,0,0
"ADMS",96.04,198.21,104.02,198.2147,105.8113,164.5556,117.57
"ADNT",58.49,68.62,67.39,62.8252,67.7366,68.3963,68.08
"ADP",22.68,26.88,27.39,28.7729,27.1019,26.9339,27.47
"ADPT",83.47,74.15,73.25,79.4801,71.5101,73.8271,69.2
"ADS",56.29,61.77,60.84,63.2541,60.8,61.4349,60.55
"ADSK",30.9,33.1,37.28,31.7311,36.9087,34.5949,36.42
"ADSW",0,0,0,0,0,0,0
"ADT",72.37,57.76,65.14,66.1135,61.0086,58.5752,65.14
"ADTN",45.64,53.34,52.39,48.9417,52.9246,53.2397,51.95
"ADUS",34.86,32.73,36.72,33.9468,35.582,33.4433,37.43
"ADV",50.42,51.32,49.85,50.802,50.6704,51.1558,51.5
"ADVM",87.31,109.14,96.37,109.1434,98.1158,104.5805,109.55
"AEE",21.49,21.93,26.44,21.675,25.8858,23.5413,22.22
"AEG",0,0,0,38.2035,38.2035,38.2035,38.2
"AEGN",57.11,50.24,50.37,50.2405,50.3582,50.2854,50.31
"AEIS",48,46.16,43.72,47.2094,44.418,45.7238,45.49
"AEL",42.88,52.71,38.51,47.0879,46.467,51.1485,39.82
"AEM",38.25,41.87,41.1,39.7995,41.5321,41.7885,40.68
"AEO",54.95,53.87,56.78,63.4423,55.1479,54.19,55.78
"AEP",22.75,24.43,24.39,23.4682,24.4084,24.422,23.59
"AER",54.3,58.84,58.71,56.2478,58.8546,58.7973,59.04
"AERI",85.32,97.72,77.36,90.6284,88.7678,95.482,74.12
"AES",32.38,31.88,34.4,32.164,32.9869,32.1576,33.95
"AEZS",0,276.3,187.04,276.296,237.0529,266.4923,180.84
"AFG",41.04,30.35,33.69,30.3532,34.0624,31.545,36.52
"AFHIF",0,0,0,0,0,0,0
"AFI",304.69,193.85,103.96,193.8501,129.6117,177.8021,104.9
"AFL",26.61,29.86,29.56,27.6951,29.7248,29.8227,29.33
"AFMD",134.4,223.43,139.73,135.2825,138.795,137.0387,119.69
"AFTY",26.18,25.75,25.1,25.9927,25.0298,25.5142,24.59
"AFYA",46.73,44.65,47.04,45.8354,47.6479,45.5024,51.63
"AG",55.85,64.74,66.27,61.6939,65.8312,65.0154,65.87
"AGCO",34.06,36.26,37.94,35.0027,36.9968,36.4422,37.75
"AGEN",72.68,94.35,88.28,81.9583,91.6798,93.682,102.52
"AGFS",158.25,151.32,104.25,151.325,143.8569,149.4593,123.88
"AGG",6.43,5.98,6.57,6.2357,6.4802,6.1886,5.9
"AGI",59.32,58.41,58.75,58.9318,58.3397,58.5312,55.62
"AGIO",66.12,66.92,60.83,66.4645,64.2405,66.2508,55.32
"AGLE",0,0,148.63,148.6332,148.6332,148.6332,103.61
"AGM",41.38,34.15,36.07,34.1509,34.996,34.362,37.45
"AGNC",19.59,22.27,23.04,20.9587,23.1963,22.5434,24.2
"AGO",42.74,43.68,45.45,43.1433,44.9462,43.9975,45.44
"AGQ",83.44,92.31,92.94,87.241,93.04,92.5359,93.73
"AGR",35.99,28.4,33.08,32.7397,30.4557,28.9124,26.61
"AGRO",71.23,57.65,61.05,57.6539,61.5666,58.8662,64.98
"AGRX",102.18,0,111.45,104.3848,111.2779,108.806,110.12
"AGS",79.13,94.95,108.08,85.9045,104.334,97.2911,113.45
"AGTC",138.12,86.1,110.8,115.8384,103.7537,90.5097,95.64
"AGX",76.73,48.14,35.85,64.4889,39.3582,45.9487,36.37
"AGYS",47.03,60.56,53.13,52.8223,55.2506,59.2336,50.12
"AHC",0,172.41,102.55,172.4104,141.6958,164.7373,127.3
"AHCO",68.16,64.08,61.67,66.4134,61.8147,63.2178,62.78
"AHH",48.17,40.16,42.5,44.7421,41.1916,40.4191,45.89
"AHT",156.85,174.09,186.21,164.2347,184.5518,178.4202,173.68
"AI",98.39,94.86,97.41,96.8797,96.6814,95.3184,95.12
"AIA",18.19,18.06,20.92,18.1377,19.3168,18.3756,21.99
"AIG",35.5,39.03,39.78,35.2092,39.7349,39.2971,39.53
"AIMC",52.42,49.81,48.47,51.3003,48.8516,49.5705,48.15
"AIN",78.4,54.22,44.25,40.1099,40.1099,40.1099,40.11
"AINV",40.59,39.69,43.62,40.2057,43.2317,41.0953,40.71
"AIR",54.83,59.17,62.01,56.6891,60.419,59.4836,57.25
"AIRG",67.51,63.92,62.83,65.9713,63.4412,63.7991,65.87
"AIT",42.46,39.41,38.61,41.1519,39.0585,39.3215,37.58
"AIV",68.45,69.77,72.74,69.0138,72.8345,70.8335,73.44
"AIZ",22.13,27.21,27.18,24.3066,27.2546,27.2006,27.74
"AJG",19.95,24.33,24.4,21.828,24.3775,24.3435,24.66
"AJRD",17.12,19.75,23.28,18.2447,21.3016,20.1353,17.6
"AJX",44.18,36.13,40.15,40.7352,37.8998,36.5749,41.44
"AKAM",26.39,32.72,31.95,27.1756,32.3799,32.6343,31.31
